,Name position,Exp required,Application date,Application day,Application way,Application way comments,Response date,Response day,Call/Interview,Second interview,Technical interview,Technical assignment,Job Offer
58,Data Engineer,2-3 years,2021-01-04,Monday,Job application,Linkedin,2021-01-18,Monday,,,,,
59,Data Analyst,3+ years,2021-01-04,Monday,Job application,Linkedin,,,,,,,
60,Junior/Senior Data Engineer,0-5 years,2021-01-04,Monday,Job application,Indeed,2021-01-06,Wednesday,,,,,
61,Senior Data Engineer,5 years,2021-01-05,Tuesday,DM to recrutier,Linkedin,,,,,,,
62,Data Engineer,2-3 years,2021-01-05,Tuesday,Job application,Stackoverflow,2021-01-07,Thursday,,,,,
63,Data Engineer,2-3 years,2021-01-05,Tuesday,Job application,Indeed,2021-01-06,Wednesday,2021-01-11,2021-01-14,,,
64,Data Engineer,2-3 years,2021-01-07,Thursday,Job application,Linkedin,2021-01-14,Thursday,,,,,
65,Data Engineer,2-3 years,2021-01-07,Thursday,Job application,Linkedin,2021-01-08,Friday,2021-01-12,,,,
66,Data Engineer,2-3 years,2021-01-11,Monday,Job application,Linkedin,2021-01-13,Wednesday,,,,,
67,Data Engineer,2-10 years,2021-01-11,Monday,Job application,Linkedin,,,,,,,
68,Data Engineer,2-5 years,2021-01-11,Monday,Job application,Linkedin,2021-01-12,Tuesday,,,,,
69,Data Engineer,5 years,2021-01-11,Monday,Job application,Linkedin,2021-01-12,Tuesday,,,,,
70,Reporting Analyst - Payments,2+ years,2021-01-11,Monday,Job application,Linkedin,2021-01-15,Friday,,,,,
71,Data Analyst - Content Agency,2+ years,2021-01-13,Wednesday,Job application,Linkedin,2021-01-21,Thursday,,,,,
72,Pricing & Data Analyst,1 years,2021-01-13,Wednesday,Job application,Linkedin,2021-01-18,Monday,,,,,
73,Data Engineer,4 years,2021-01-13,Wednesday,Job application,Linkedin,,,,,,,
74,Data Engineer,3 years,2021-01-13,Wednesday,Job application,Indeed,2021-01-14,Thursday,,,,,
75,Medior/Senior Data Engineer,5+ years,2021-01-13,Wednesday,Job application,Indeed,,,,,,,
76,Data Engineer,2+ years,2021-01-14,Thursday,Job application,Linkedin,2021-01-20,Wednesday,,,,,
77,Data Scientist,3 years,2021-01-18,Monday,Job application,Linkedin,2021-01-18,Monday,,,,,
78,Junior Data Engineer,0 years,2021-01-18,Monday,Job application,Linkedin,2021-01-18,Monday,2021-01-22,,,,
79,Data Analyst,2-3 years,2021-01-18,Monday,Job application,Linkedin,,,,,,,
80,Data Analyst,2-5 years,2021-01-18,Monday,Linkedin application,Linkedin,2021-01-21,Thursday,,,,,
